Example,DA,Sub_Category
apologies for calling you dumb,a,a
my bad,a,a
sorry for insulting you,a,a
sorry for getting frustrated,a,a
sorry about that,a,a
excuse me mira,a,a
please accept my apologies,a,a
i truly apologize,a,a
please excuse my insults,a,a
forgive me for my harsh words,a,a
im really sorry ok,a,a
my mistake,a,a
pls excuse me,a,a
please accepy my sincere apology,a,a
please accept my apology,a,a
i didnt mean that sorry,a,a
i beg your pardon pls,a,a
sorry about that mira,a,a
very sorry,a,a
im so sorry,a,a
sorry about earlier,a,a
apologise,a,a
forgive me please,a,a
sorry for my words,a,a
i am so sorry,a,a
please pardon me for my action,a,a
apologies from me,a,a
sorry for venting so much,a,a
pardon me,a,a
please i beg your pardon,a,a
accept my apologies,a,a
please forgive me i didnt mean it,a,a
accept my apologies please,a,a
i apologize for my action,a,a
apologies from the bottom of my heart,a,a
sorry for being mean,a,a
soory about that,a,a
i am really sorry,a,a
apologies for losing my temper there,a,a
that was unkind of me sorry,a,a
i want to say sorry,a,a
ok sorry,a,a
forgive me ana,a,a
sorry,a,a
forgive me for acting like that,a,a
pardon,a,a
forgive me,a,a
please forgive me mira,a,a
please accept my sincere apology,a,a
im sorry,a,a
sorry for my tone,a,a
accept my apologies pls,a,a
i apologize,a,a
im asking for your forgiveness,a,a
sorry about this,a,a
please please forgive me,a,a
okay im sorry,a,a
i beg your pardon,a,a
please excuse my behavior,a,a
i beg your forgiveness,a,a
i shouldnnt have said that i apologize,a,a
my apologies,a,a
i wholeheartedly apologize,a,a
please excuse my harsh words,a,a
i said sorry,a,a
please exccuse me ,a,a
i really am sorry,a,a
excuse my words please,a,a
accept my apology please,a,a
i sincerely apologize,a,a
pardon me please,a,a
ana im sorry,a,a
im really sorry,a,a
put molly and tenbrooks in the french n heavy playlist,d,d
please let me know what my amount due is,d,d
play the most popular puretone,d,d
switch on the kitchen lights,d,d
add jon mclaughlin to my forever country playlist,d,d
switch on the plug,d,d
tell me the singer of this track,d,d
alexa go to national geography on fire tv,d,d
send email to martha saying last evening was wild,d,d
show me the amyinthit tv series,d,d
book a table for two at a restaurant faraway from office in california,d,d
find a reservation at fish express,d,d
book a restaurant not far in milladore for 6 people,d,d
find a photograph called call on me,d,d
play 1962 music on netflix,d,d
add this album to the playlist called dishwashing,d,d
play all things must pass,d,d
go to itunes and play dr lecter by david hodges,d,d
play something by brian chase,d,d
play some eddie vinson on deezer,d,d
turn on airplane mode,d,d
show me a picture of love,d,d
ana put the volume on max,d,d
add ireland in the junior eurovision song contest 2015 to my jazzy dinner playlist,d,d
go to bed early,d,d
book cornelia and bettie a table at a brasserie restaurant in colombia,d,d
use a different language,d,d
rate this book titled the clue in the old album one out of 6 stars,d,d
send mail to mom i am planning vacations with her nest week,d,d
look up the cool cafe cool tape vol 1 video game,d,d
add heart like a hurricane to digster soul classics,d,d
please show me different ways for payment,d,d
mira help,d,d
please describe the procedure of removing someone from my insurance policy,d,d
add curse song to my playlist guest list engadget,d,d
please tell me what i owe for life insurance,d,d
hello siri turn bedroom heat up,d,d
play top 10,d,d
tell me a date,d,d
turn the heat down in the bathroom,d,d
play my pandora app,d,d
play valerij kipelov on vimeo,d,d
add dahmer to hiphop hot 50,d,d
save ferris,d,d
turn the sound up,d,d
add the track to the drum  breaks playlist,d,d
book a highly rated place in in in seven years at a pub,d,d
setup auto payments for life insurance,d,d
give 2 stars to the doom brigade,d,d
show tv show schedule archive is,d,d
find a picture of a breed apart,d,d
start a fire,d,d
play me a fifties song by chingy,d,d
put no mystery into my punk essentials playlist,d,d
book a table for ten for breakfast in minnesota,d,d
please show me to a representative,d,d
give me a list of free mental health resources fpr dealing with depression,d,d
save the information which is provided by aman on this song,d,d
add my meeting in google office tomorrow 10 am,d,d
put alarm at 5 am,d,d
change the lights into green,d,d
remove the old name on my life policy and fill in the new one,d,d
send email to family and tell them graduation is scheduled for 6pm on saturday and accept or decline the calendar invite,d,d
please add this track to my de camino playlist,d,d
please tell me about options for paying my bill automatically,d,d
show creativity of song a discord electric,d,d
give me a list of movie times for films in the area,d,d
please search the karobar economic daily picture,d,d
tell me how much do i have to pay,d,d
make lights brightener,d,d
show movie times of films close by,d,d
find a man needs a maid,d,d
rate this album a 2,d,d
remind me of my password,d,d
start my jazz playlist,d,d
put the airi suzuki album into my nuclear blast novelties playlist,d,d
add this artist to metal party,d,d
cancel  the breakfast at tiffanys,d,d
send reply,d,d
make the room brighter,d,d
play the top5 songs from paddy reilly on zvooq,d,d
increase the heating in the bathroom,d,d
schedule an interview and a sample session,d,d
give me your full name please,d,d
please tell me where my refund check is,d,d
add to my verano list a song by andy lee,d,d
rate this book a 1,d,d
find a movie house showing cage without a key,d,d
tell me a holidy limerick,d,d
remind me to call my grandma this sunday,d,d
find a video game called victory march,d,d
find the schedule for screen souvenirs at cinemark theatres,d,d
book a restautant in north dakota at a bistro that is indoor,d,d
phone my sister,d,d
remove my exwife from my auto policy,d,d
please rate the current album 4 stars,d,d
find book called dreams and all that stuff,d,d
remind me in 10 days to email austin,d,d
brief me about  todays football match,d,d
mount the house on a metal pole that has been set in concrete,d,d
play a karin dreijer andersson soundtrack on groove shark,d,d
add email to existing contact ,d,d
add om to my classic punk,d,d
please find me phineas redux,d,d
add the patty patty sound to my metal talks kreator playlist,d,d
add chamberlain waits to my picnic in the park,d,d
tell me the forecast for 6 am in tatranationalpark,d,d
please cancel my home renters and vehicle policies,d,d
show alarms,d,d
rate the current novel 3 points,d,d
give the whisperer a rating of 0,d,d
setup account,d,d
pass the book please,d,d
lights off in the kitchen,d,d
play good classified songs on vimeo,d,d
email david about the meeting tomorrow david can we have the meeting in the afternoon,d,d
shop for grocery store meat later in the day,d,d
rate this series a 5,d,d
please help serve me coffee with a no sugar,d,d
clean the bathrooms,d,d
use the paragon options in the ensuing conversation to continue the relationship,d,d
rate this album two out of 6,d,d
please help me understand how much money i get if i cash my life insurance policy,d,d
book spot for 4 in somalia,d,d
launch safari,d,d
set my device to chinese,d,d
decrease the temperature in the washroom,d,d
add blood guts  glory to my this is chopin,d,d
convert 25 kilograms to pound,d,d
look up motivational quotes,d,d
tell me bbc news,d,d
give zero stars to rhialto the marvellous,d,d
assistant name make me a sandwich,d,d
take eggs of the list,d,d
play some music on last fm,d,d
set event on recurring,d,d
find a television show called merced sunstar,d,d
olly help me find the show go with the flow,d,d
please help me to remove the lienholder from my auto policy,d,d
please remove my daughter from my auto policy and create a separate one for her,d,d
show me the book f1 grand prix part ii,d,d
play a symphony from 2013,d,d
set lights brightness higher,d,d
play how does it work by helen carter,d,d
turn down the temperature in the kitchen,d,d
speak in spanish,d,d
play an andy silvester sound track from the thirties on spotify,d,d
give 2 out of 6 points to the following textbook,d,d
tell me the names of all of your companies,d,d
find me a game called spaceball,d,d
put on some coldplay,d,d
book a gibassier serving tavern in vermont for nine,d,d
rate the little book four stars,d,d
rate the current chronicle series 3 out of 6 points,d,d
rate the current book 3 of 6,d,d
rate the natural a 4,d,d
please play something from dihan slabbert that s on the top fifty,d,d
add circus to my post garage wave revival list,d,d
turn on wifi,d,d
play music from lynn  wade llp,d,d
show the phish live in vegas tv series,d,d
tell me about you,d,d
add this tune to cristina s endorphin rush playlist,d,d
mira tell me a curiosity about sleep,d,d
play me the greatest chant by laurel aitken on lastfm,d,d
rate this book 3 stars out of 6,d,d
search and play a radio station with news,d,d
book a reservation for 10 people at an oyster bar with a pool within the same area of cowansburg for 10 pm,d,d
find alamo drafthouse cinema with animated movies,d,d
check the forecast for keene,d,d
please grill the sandwich,d,d
decrease the temperature in the kitchen,d,d
find on dress parade,d,d
play the last ep from 1999,d,d
find the schedule for the devil diamond at a movie theatre,d,d
add this track to new hip hop,d,d
rate the current album a four,d,d
remove handling fee,d,d
schedule a doctors appointment for me,d,d
reply to patrick that i am on my way,d,d
use the school districts scope and sequence materials or manual,d,d
rate star wars  the old republic revan 1 points,d,d
call me tomorrow,d,d
play clnsicos del hip hop espanol,d,d
show the movie times for animated movies in the neighbourhood,d,d
add htoo ein thin to my brooklyn beat playlist,d,d
rate the current textbook 1 out of 6,d,d
put before the eulogy onto acoustic blues,d,d
tell me what films are playing at plitt theatres,d,d
put abe laboriel onto the escapada playlist,d,d
tell me latest technology news,d,d
find a tv series called armageddon summer,d,d
please check mail from jack,d,d
start bbc radio,d,d
add d flame to the dcode2016 playlist,d,d
play russell morris s the singer and the song on netflix,d,d
play some last fm music like the 1992 ep from peaches,d,d
play my black sabbath the dio years playlist,d,d
book a bakery for lebanese on january 11th 2032,d,d
